CookerStat, GenerateAssetRegistry=0.028048, Initialize=0.164740, RunGuid=RunIDF94948AD4B2182EAFEAF8C879D103403
SavePackageTransactionId952A18F14981F11995A42CACBEBB6240_0, Filename=D:/HeliosFinal/Content/FirstPersonBP/Blueprints/FirstPerson_Pawn.uasset, AutoPackageBackupDelegate=106.652054, FlushAsyncLoading=0.010271, FlushStreamingFunc=0.128396, BlockTillAllRequestsFinished=0.004742, ResetLoadersForSaveUnMarkAllObjects=0.306170, TagPackageExports=24.626568, BeginCacheForCookedPlatformData=0.005927, SerializeImports=40.406124, GatherLocalizableTextData=25.506371, MarkNames=0.214122, SerializeSummary=0.016987, SerializeNames=0.426669, SerializeGatherableTextData=0.144593, BuildExportMap=0.441283, SortExportsNonSeekfree=6.121483, SortExportsSeekfreeConstructor=0.069924, SortExportsSeekfreeInner=38.514965, SortExportsSeekfree=0.006322, BuildDependencyMap=0.218865, SerializeImportMap=0.025284, SerializeExportMap=0.120096, SerializeDependencyMap=0.032395, SerializeStringAssetReferenceMap=0.003159, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.795752, SerializeExports=33.536396, SerializeBulkData=0.038322, MoveFile=3.152594, UnaccountedTime=2.407901, RunGuid=RunIDF94948AD4B2182EAFEAF8C879D103403
SavePackageTransactionId952A18F14981F11995A42CACBEBB6240_1, Filename=D:/HeliosFinal/Content/FirstPersonBP/Blueprints/FirstPerson_Pawn.uasset, AutoPackageBackupDelegate=0.723753, FlushAsyncLoading=0.002764, FlushStreamingFunc=0.129975, BlockTillAllRequestsFinished=0.004347, ResetLoadersForSaveUnMarkAllObjects=0.112198, TagPackageExports=25.239307, BeginCacheForCookedPlatformData=0.004742, SerializeImports=25.644642, GatherLocalizableTextData=25.983606, MarkNames=0.194367, SerializeSummary=0.015013, SerializeNames=0.396643, SerializeGatherableTextData=0.175409, BuildExportMap=0.413232, SortExportsNonSeekfree=5.307261, SortExportsSeekfreeConstructor=0.059258, SortExportsSeekfreeInner=38.822720, SortExportsSeekfree=0.006322, BuildDependencyMap=0.230320, SerializeImportMap=0.047799, SerializeExportMap=0.163559, SerializeDependencyMap=0.069927, SerializeStringAssetReferenceMap=0.001974, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.918615, SerializeExports=35.691853, SerializeBulkData=0.029236, MoveFile=3.747553, UnaccountedTime=1.054026, RunGuid=RunIDF94948AD4B2182EAFEAF8C879D103403
SavePackageTransactionId952A18F14981F11995A42CACBEBB6240_2, Filename=D:/HeliosFinal/Content/FirstPersonBP/Blueprints/FirstPerson_Pawn.uasset, AutoPackageBackupDelegate=0.466961, FlushAsyncLoading=0.002768, FlushStreamingFunc=0.076246, BlockTillAllRequestsFinished=0.004347, ResetLoadersForSaveUnMarkAllObjects=0.112195, TagPackageExports=26.193384, BeginCacheForCookedPlatformData=0.005137, SerializeImports=27.087801, GatherLocalizableTextData=26.082371, MarkNames=0.201877, SerializeSummary=0.030816, SerializeNames=0.385184, SerializeGatherableTextData=0.155259, BuildExportMap=0.345286, SortExportsNonSeekfree=5.672689, SortExportsSeekfreeConstructor=0.068348, SortExportsSeekfreeInner=38.241581, SortExportsSeekfree=0.006318, BuildDependencyMap=0.219259, SerializeImportMap=0.024494, SerializeExportMap=0.146173, SerializeDependencyMap=0.022516, SerializeStringAssetReferenceMap=0.002373, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.738468, SerializeExports=33.814915, SerializeBulkData=0.009086, MoveFile=3.189728, UnaccountedTime=0.924841, RunGuid=RunIDF94948AD4B2182EAFEAF8C879D103403
